0.180847	 -25.406767
0.179935	 -25.361090
0.196722	 -24.229881
0.195850	 -24.187312
0.205883	 -22.493109
0.204810	 -22.450896
0.222515	 -21.517804
0.221477	 -21.478207
0.232401	 -20.090707
0.231146	 -20.051330
0.249777	 -19.274225
0.248545	 -19.237032
0.260387	 -18.088206
0.258921	 -18.051148
0.278500	 -17.398688
0.277042	 -17.363419
0.289836	 -16.403197
0.288126	 -16.368021
0.308692	 -15.816544
0.306964	 -15.782777
0.320757	 -14.973690
0.318763	 -14.940016
0.340383	 -14.471447
0.338327	 -14.438790
0.353189	 -13.752401
0.350854	 -13.719883
0.373645	 -13.320304
0.371175	 -13.288362
0.387207	 -12.702840
0.384458	 -12.671151
0.408621	 -12.329817
0.405601	 -12.298162
0.422960	 -11.796609
0.419692	 -11.765422
0.445587	 -11.474111
0.441780	 -11.442215
0.460722	 -11.011515
0.456780	 -10.980486
0.485107	 -10.733118
0.480033	 -10.700241
0.500996	 -10.330282
0.496180	 -10.299049
0.528468	 -10.091577
0.520950	 -10.056542
0.544726	 -9.739774
0.538987	 -9.707933
0.579265	 -9.538572
0.565571	 -9.499417
0.593476	 -9.230954
0.588862	 -9.196636
0.652977	 -9.068119
0.614856	 -9.021780
0.771691	 -8.816643
0.645564	 -8.801843
0.640945	 -8.740017
0.657302	 -8.622221
0.682485	 -8.538567
0.668569	 -8.438836
0.660643	 -8.350531
0.665882	 -8.259923
0.668474	 -8.171277
0.667149	 -8.080642
0.666155	 -7.991083
0.666607	 -7.902754
0.666806	 -7.815001
0.666744	 -7.727125
0.666683	 -7.640011
0.666715	 -7.553308
0.666699	 -7.467295
0.666721	 -7.381523
0.666702	 -7.296465
0.666724	 -7.211692
0.666702	 -7.127626
0.666726	 -7.043836
0.666705	 -6.960755
0.666728	 -6.877951
0.666707	 -6.795856
0.666731	 -6.714037
0.666709	 -6.632927
0.666733	 -6.552095
0.666711	 -6.471970
0.666736	 -6.392123
0.666713	 -6.312983
0.666739	 -6.234122
0.666716	 -6.155967
0.666742	 -6.078091
0.666719	 -6.000922
0.666746	 -5.924031
0.666722	 -5.847847
0.666750	 -5.771941
0.666725	 -5.696742
0.666753	 -5.621822
0.666728	 -5.547607
0.666758	 -5.473672
0.666732	 -5.400441
0.666762	 -5.327491
0.666735	 -5.255245
0.666767	 -5.183280
0.666739	 -5.112019
0.666772	 -5.041038
0.666744	 -4.970761
0.666777	 -4.900765
0.666748	 -4.831472
0.666783	 -4.762461
0.666753	 -4.694151
0.666789	 -4.626124
0.666759	 -4.558798
0.666795	 -4.491756
0.666764	 -4.425414
0.666802	 -4.359355
0.666771	 -4.293996
0.666810	 -4.228921
0.666777	 -4.164545
0.666818	 -4.100454
0.666785	 -4.037061
0.666826	 -3.973953
0.666793	 -3.911543
0.666836	 -3.849419
0.666801	 -3.787990
0.666846	 -3.726849
0.666810	 -3.666402
0.666856	 -3.606244
0.666820	 -3.546779
0.666868	 -3.487603
0.666831	 -3.429119
0.666881	 -3.370926
0.666843	 -3.313423
0.666895	 -3.256211
0.666856	 -3.199688
0.666909	 -3.143458
0.666870	 -3.087915
0.666926	 -3.032667
0.666885	 -2.978103
0.666943	 -2.923835
0.666902	 -2.870250
0.666962	 -2.816963
0.666920	 -2.764356
0.666983	 -2.712049
0.666940	 -2.660419
0.667006	 -2.609092
0.666962	 -2.558439
0.667031	 -2.508090
0.666987	 -2.458413
0.667058	 -2.409042
0.667013	 -2.360340
0.667089	 -2.311947
0.667043	 -2.264219
0.667122	 -2.216802
0.667076	 -2.170047
0.667158	 -2.123607
0.667112	 -2.077823
0.667199	 -2.032358
0.667152	 -1.987544
0.667244	 -1.943053
0.667197	 -1.899209
0.667293	 -1.855690
0.667247	 -1.812813
0.667348	 -1.770266
0.667303	 -1.728355
0.667410	 -1.686778
0.667365	 -1.645830
0.667479	 -1.605222
0.667436	 -1.565235
0.667556	 -1.525594
0.667514	 -1.486565
0.667642	 -1.447889
0.667604	 -1.409816
0.667739	 -1.372104
0.667704	 -1.334982
0.667848	 -1.298231
0.667817	 -1.262060
0.667972	 -1.226265
0.667949	 -1.191041
0.668112	 -1.156199
0.668097	 -1.121910
0.668271	 -1.088025
0.668259	 -1.054682
0.668453	 -1.021735
0.668469	 -0.989311
0.668660	 -0.957316
0.668666	 -0.925822
0.668898	 -0.894760
0.668950	 -0.864192
0.669174	 -0.834052
0.669233	 -0.804355
0.669486	 -0.775176
0.669523	 -0.746447
0.669852	 -0.718126
0.964643	 -0.035187
0.964631	 -0.035167
0.670051	 -0.690244
0.670282	 -0.662864
0.936352	 -0.063252
0.936317	 -0.063201
0.670354	 -0.635853
0.908056	 -0.091313
0.907983	 -0.091223
0.670758	 -0.609373
0.670929	 -0.583312
0.879756	 -0.119371
0.879627	 -0.119233
0.671329	 -0.557707
0.851450	 -0.147425
0.851246	 -0.147234
0.671994	 -0.532466
0.672063	 -0.507615
0.823135	 -0.175480
0.822835	 -0.175228
0.671021	 -0.482561
0.794817	 -0.203521
0.794391	 -0.203221
0.672724	 -0.459391
0.675170	 -0.438841
0.766525	 -0.231596
0.765870	 -0.231192
0.674105	 -0.412522
0.738066	 -0.259720
0.737421	 -0.258683
0.678011	 -0.380297
0.678587	 -0.364459
0.712339	 -0.285589
0.694172	 -0.319390
0.707496	 -0.287479
0.690580	 -0.308562
0.663212	 -0.355882
0.642240	 -0.352446
0.639692	 -0.319109
0.636732	 -0.259867
0.587212	 -0.267328
0.522230	 -0.314295
0.512950	 -0.286580
0.532046	 -0.206465
0.474896	 -0.208737
