#Log of time taken by 50000 matrix vector multiplications 
#Matrix size is 2601

#no of processes    time (s)
#-----------------------------
 1		   76.03
 2		   46.30
 3		   35.01
 4		   29.89
 5		   27.98
 6		   26.02
 7		   23.29
 8		   22.51
 9		   21.56
 10		   20.46
 11		   19.92
 12		   19.96
 13		   32.75
 14		   32.70
 15		   32.53
 16		   31.75
 17		   31.90
 18		   31.69
 19		   31.63
 20		   31.62
 21		   31.49
 22		   31.13
 23		   30.80
