k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
-4.86041e-06 - 1.39304e-06 i
8.64959e-06 + 1.48573e-06 i
-8.40782e-06 - 3.42036e-06 i
2.11866e-05 - 1.66707e-07 i
-1.54636e-05 - 1.65544e-05 i
5.09476e-05 - 4.43047e-05 i
-0.00024004 - 0.000157164 i
-0.000230866 + 4.89845e-05 i
2.60093e-05 + 0.000313743 i
0.000184719 + 0.000184984 i
0.000298227 - 0.000121336 i
-0.000205693 - 0.000420689 i
0.000297841 - 0.000121408 i
0.000184389 + 0.00018482 i
2.5218e-05 + 0.000312402 i
-0.000229878 + 4.85293e-05 i
-0.000239014 - 0.000155757 i
5.04309e-05 - 4.42915e-05 i
-1.53874e-05 - 1.6367e-05 i
2.10394e-05 - 2.74376e-07 i
-8.34771e-06 - 3.34411e-06 i
8.59133e-06 + 1.42472e-06 i
-4.81193e-06 - 1.35761e-06 i
4.00815e-06 + 8.78633e-07 i
-2.47422e-06 - 6.26036e-07 i
1.87499e-06 + 4.49924e-07 i
-1.08628e-06 - 2.42408e-07 i
7.15205e-07 + 1.8192e-07 i
-3.11535e-07 - 4.70428e-08 i
1.32148e-07 + 2.68755e-08 i
7.94169e-09 - 1.22679e-08 i
7.85203e-13 + 1.9727e-13 i
1.14623e-12 + 1.48523e-13 i
-6.64236e-09 + 9.59691e-09 i
-1.23889e-07 - 1.43043e-08 i
3.41781e-07 + 6.90666e-08 i
-7.22253e-07 - 1.48392e-07 i
1.12609e-06 + 2.84209e-07 i
-1.90266e-06 - 4.32025e-07 i
2.52646e-06 + 6.86782e-07 i
-4.14809e-06 - 8.9847e-07 i
4.84552e-06 + 1.46497e-06 i
-8.99211e-06 - 1.42255e-06 i
8.3904e-06 + 3.7518e-06 i
-2.18829e-05 + 8.32944e-07 i
1.64665e-05 + 1.85072e-05 i
-4.92215e-05 + 4.85684e-05 i
0.00025657 + 0.000163469 i
0.000243243 - 5.64081e-05 i
-2.6751e-05 - 0.000335057 i
-0.000200156 - 0.000198218 i
-0.000318917 + 0.000132972 i
0.000211553 + 0.000452223 i
-0.000318506 + 0.000133058 i
-0.000199799 - 0.000198032 i
-2.59214e-05 - 0.000333648 i
0.000242202 - 5.59077e-05 i
0.000255466 + 0.000161995 i
-4.8687e-05 + 4.85319e-05 i
1.642e-05 + 1.8338e-05 i
-2.17158e-05 + 9.52734e-07 i
8.33379e-06 + 3.6928e-06 i
-8.93722e-06 - 1.3443e-06 i
4.79069e-06 + 1.44833e-06 i
-4.12591e-06 - 8.80217e-07 i
2.48455e-06 + 6.62795e-07 i
-1.90891e-06 - 4.49829e-07 i
1.08664e-06 + 2.78453e-07 i
-7.56318e-07 - 1.83339e-07 i
2.81557e-07 + 5.7809e-08 i
-1.71737e-07 - 3.7948e-08 i
-7.27898e-09 + 8.96441e-09 i
1.16821e-12 - 5.04427e-13 i
6.04052e-13 - 6.99862e-13 i
4.28225e-09 - 5.39507e-09 i
1.5085e-07 + 2.94315e-08 i
-3.46445e-07 - 7.76536e-08 i
7.58101e-07 + 1.66843e-07 i
-1.13428e-06 - 3.01714e-07 i
1.97138e-06 + 4.52196e-07 i
-2.54165e-06 - 7.21236e-07 i
4.31716e-06 + 9.12502e-07 i
-4.86592e-06 - 1.56728e-06 i
9.42161e-06 + 1.34041e-06 i
-8.47637e-06 - 4.19997e-06 i
2.27166e-05 - 1.65735e-06 i
-1.79699e-05 - 2.09211e-05 i
4.72169e-05 - 5.37757e-05 i
-0.00027816 - 0.000171444 i
-0.000258536 + 6.66061e-05 i
2.81803e-05 + 0.00036335 i
0.000220842 + 0.000215589 i
0.000346782 - 0.000148836 i
-0.000221168 - 0.000495191 i
0.000346343 - 0.000148941 i
0.000220461 + 0.000215379 i
2.72876e-05 + 0.000361833 i
-0.000257442 + 6.60272e-05 i
-0.000276939 - 0.000169887 i
4.67028e-05 - 5.36963e-05 i
-1.7904e-05 - 2.07081e-05 i
2.25486e-05 - 1.74422e-06 i
-8.43939e-06 - 4.13529e-06 i
9.34558e-06 + 1.25776e-06 i
-4.83938e-06 - 1.56257e-06 i
4.27531e-06 + 8.88271e-07 i
-2.52369e-06 - 7.14915e-07 i
1.96667e-06 + 4.59618e-07 i
-1.08863e-06 - 2.97923e-07 i
8.00822e-07 + 1.88748e-07 i
-2.94451e-07 - 8.80553e-08 i
1.79943e-07 + 4.94747e-08 i
1.44605e-09 - 4.07237e-09 i
7.89888e-13 - 5.71513e-13 i
9.68939e-13 - 7.72003e-13 i
-1.70048e-09 + 6.99768e-10 i
-1.83198e-07 - 4.58588e-08 i
3.55786e-07 + 8.92526e-08 i
-8.0714e-07 - 1.86391e-07 i
1.15259e-06 + 3.29837e-07 i
-2.06613e-06 - 4.70562e-07 i
2.5785e-06 + 7.82563e-07 i
-4.53229e-06 - 9.15556e-07 i
4.92677e-06 + 1.72815e-06 i
-9.9424e-06 - 1.20473e-06 i
8.65463e-06 + 4.82872e-06 i
-2.36615e-05 + 2.75654e-06 i
2.01073e-05 + 2.40481e-05 i
-4.43188e-05 + 6.03578e-05 i
0.000306564 + 0.00018116 i
0.000277528 - 8.11237e-05 i
-3.0382e-05 - 0.000401471 i
-0.000249291 - 0.000238939 i
-0.000384904 + 0.000171278 i
0.000234726 + 0.000555178 i
-0.000384422 + 0.000171409 i
-0.000248872 - 0.000238692 i
-2.93957e-05 - 0.000399817 i
0.000276376 - 8.04469e-05 i
0.000305238 + 0.000179497 i
-4.37795e-05 + 6.02294e-05 i
2.00503e-05 + 2.38141e-05 i
-2.35078e-05 + 2.83081e-06 i
8.59518e-06 + 4.75098e-06 i
-9.87598e-06 - 1.13962e-06 i
4.91859e-06 + 1.70986e-06 i
-4.46691e-06 - 8.88479e-07 i
2.58769e-06 + 8.14656e-07 i
-2.04557e-06 - 4.31522e-07 i
1.15957e-06 + 3.79142e-07 i
-7.81451e-07 - 1.63698e-07 i
3.59463e-07 + 1.14731e-07 i
-1.89865e-07 - 7.02928e-08 i
2.86711e-09 - 1.90792e-09 i
1.03391e-12 + 4.31887e-13 i
7.83163e-13 + 2.9965e-13 i
-1.33294e-09 + 4.50491e-09 i
2.2095e-07 + 6.34792e-08 i
-3.72185e-07 - 1.06567e-07 i
8.70635e-07 + 2.05272e-07 i
-1.18618e-06 - 3.73856e-07 i
2.1945e-06 + 4.87036e-07 i
-2.63531e-06 - 8.73414e-07 i
4.81346e-06 + 9.03628e-07 i
-5.01798e-06 - 1.9718e-06 i
1.05753e-05 + 9.90566e-07 i
Process [1]
-8.94595e-06 - 5.71846e-06 i
2.46509e-05 - 4.27807e-06 i
-2.32408e-05 - 2.82215e-05 i
3.94966e-05 - 6.88636e-05 i
-0.00034458 - 0.000192649 i
-0.000301349 + 0.000102633 i
3.34137e-05 + 0.000454265 i
0.000289811 + 0.000271413 i
0.000438882 - 0.000204562 i
-0.000252439 - 0.000642423 i
0.000438355 - 0.00020471 i
0.00028935 + 0.000271121 i
3.22858e-05 + 0.000452444 i
-0.000300153 + 0.000101814 i
-0.000343105 - 0.00019086 i
3.89576e-05 - 6.86602e-05 i
-2.31709e-05 - 2.79551e-05 i
2.45089e-05 - 4.31814e-06 i
-8.89115e-06 - 5.63873e-06 i
1.05355e-05 + 9.1457e-07 i
-4.96898e-06 - 1.98466e-06 i
4.78307e-06 + 8.46223e-07 i
-2.62987e-06 - 9.2412e-07 i
2.18696e-06 + 4.55184e-07 i
-1.15948e-06 - 3.79332e-07 i
8.89201e-07 + 2.4729e-07 i
-3.50223e-07 - 9.12689e-08 i
2.32563e-07 + 9.66686e-08 i
-5.81501e-09 + 7.306e-09 i
5.069e-13 + 3.21694e-16 i
1.45729e-12 - 2.4504e-14 i
4.73338e-09 - 1.03475e-08 i
-2.68038e-07 - 8.37061e-08 i
3.93476e-07 + 1.28507e-07 i
-9.59399e-07 - 2.29632e-07 i
1.23359e-06 + 4.33617e-07 i
-2.37221e-06 - 5.05792e-07 i
2.72599e-06 + 1.01095e-06 i
-5.17117e-06 - 8.70686e-07 i
5.18077e-06 + 2.3433e-06 i
-1.13112e-05 - 6.36584e-07 i
9.46766e-06 + 7.05765e-06 i
-2.54866e-05 + 6.48728e-06 i
2.80364e-05 + 3.40184e-05 i
-3.10324e-05 + 7.99942e-05 i
0.000396641 + 0.000205568 i
0.000331864 - 0.000136034 i
-3.69244e-05 - 0.000530558 i
-0.000350447 - 0.000319081 i
-0.000519893 + 0.000257378 i
0.000273526 + 0.000778158 i
-0.000519231 + 0.000257565 i
-0.000349924 - 0.000318714 i
-3.5665e-05 - 0.000528503 i
0.000330595 - 0.00013503 i
0.000394938 + 0.000203619 i
-3.04517e-05 + 7.9704e-05 i
2.80193e-05 + 3.36907e-05 i
-2.53374e-05 + 6.47867e-06 i
9.42395e-06 + 6.93303e-06 i
-1.1247e-05 - 6.09983e-07 i
5.11802e-06 + 2.32147e-06 i
-5.15672e-06 - 8.62964e-07 i
2.70872e-06 + 1.01685e-06 i
-2.37205e-06 - 5.23511e-07 i
1.23218e-06 + 4.18408e-07 i
-9.36802e-07 - 2.70925e-07 i
4.19247e-07 + 1.17422e-07 i
-2.57405e-07 - 1.16022e-07 i
1.13612e-08 - 1.32261e-08 i
1.0061e-12 - 1.73628e-13 i
4.09578e-13 + 2.24069e-13 i
-9.20797e-09 + 1.67958e-08 i
3.24073e-07 + 1.05981e-07 i
-4.28179e-07 - 1.67139e-07 i
1.0709e-06 + 2.49077e-07 i
-1.31875e-06 - 5.39591e-07 i
2.59705e-06 + 5.10938e-07 i
-2.88878e-06 - 1.24684e-06 i
5.62171e-06 + 7.89135e-07 i
-5.4665e-06 - 2.95831e-06 i
1.21436e-05 + 4.0381e-08 i
-1.04411e-05 - 9.16702e-06 i
2.57784e-05 - 9.78161e-06 i
-3.58531e-05 - 4.232e-05 i
1.56571e-05 - 9.45003e-05 i
-0.000470354 - 0.000218599 i
-0.000372593 + 0.000191214 i
3.88102e-05 + 0.000648014 i
0.0004478 + 0.000395238 i
0.000653669 - 0.000349836 i
-0.000291222 - 0.0010127 i
0.000652804 - 0.000350173 i
0.000447144 + 0.0003946 i
3.72459e-05 + 0.000645543 i
-0.000371272 + 0.000189846 i
-0.00046829 - 0.00021642 i
1.51132e-05 - 9.4024e-05 i
-3.58299e-05 - 4.19033e-05 i
2.56482e-05 - 9.69054e-06 i
-1.03958e-05 - 8.98386e-06 i
1.21092e-05 + 1.9665e-08 i
-5.37559e-06 - 2.94892e-06 i
5.66996e-06 + 8.02257e-07 i
-2.80311e-06 - 1.21507e-06 i
2.67964e-06 + 5.56581e-07 i
-1.21188e-06 - 5.27533e-07 i
1.13334e-06 + 2.78298e-07 i
-3.82253e-07 - 1.73827e-07 i
3.42115e-07 + 1.25643e-07 i
-1.39877e-08 + 1.77212e-08 i
8.24979e-13 + 3.43878e-15 i
7.35812e-13 - 9.82925e-13 i
1.57447e-08 - 2.4516e-08 i
-3.93268e-07 - 1.40004e-07 i
4.85524e-07 + 2.27569e-07 i
-1.21434e-06 - 2.84402e-07 i
1.46552e-06 + 7.15532e-07 i
-2.89012e-06 - 5.3e-07 i
3.18712e-06 + 1.65509e-06 i
-6.16385e-06 - 6.68754e-07 i
6.10904e-06 + 4.03696e-06 i
-1.28875e-05 + 8.85658e-07 i
1.25931e-05 + 1.26378e-05 i
-2.43669e-05 + 1.46093e-05 i
4.99055e-05 + 5.45887e-05 i
1.357e-05 + 0.000112594 i
0.000580474 + 0.000227933 i
0.000433811 - 0.000290135 i
-2.71569e-05 - 0.00084697 i
-0.00062144 - 0.000536632 i
-0.000916236 + 0.000539851 i
0.000263659 + 0.00149937 i
-0.000914858 + 0.000540223 i
-0.000620708 - 0.000535534 i
-2.55411e-05 - 0.000843978 i
0.000432252 - 0.000288329 i
0.000577826 + 0.000225481 i
1.40238e-05 + 0.000111856 i
4.9851e-05 + 5.40939e-05 i
-2.43034e-05 + 1.44599e-05 i
1.24992e-05 + 1.23875e-05 i
-1.28881e-05 + 8.04865e-07 i
6.05529e-06 + 3.98364e-06 i
-6.14093e-06 - 6.77378e-07 i
3.17662e-06 + 1.7066e-06 i
-2.88666e-06 - 4.89422e-07 i
1.44888e-06 + 7.90705e-07 i
-1.20514e-06 - 2.28904e-07 i
4.71606e-07 + 2.97653e-07 i
-3.75803e-07 - 1.25573e-07 i
2.85458e-08 - 2.0864e-08 i
8.48032e-13 + 1.30991e-14 i
1.04511e-12 - 4.07027e-13 i
-2.71443e-08 + 2.64359e-08 i
5.14152e-07 + 1.75775e-07 i
-4.68782e-07 - 4.58311e-07 i
1.60946e-06 + 2.42875e-07 i
-1.39345e-06 - 1.34872e-06 i
3.79476e-06 + 3.37826e-07 i
-2.97561e-06 - 3.09722e-06 i
8.09393e-06 - 1.3239e-07 i
-5.36996e-06 - 7.7062e-06 i
1.69025e-05 - 4.37746e-06 i
-1.1246e-05 - 2.34328e-05 i
2.93567e-05 - 2.85624e-05 i
-6.02608e-05 - 8.75241e-05 i
-4.60678e-05 - 0.000153239 i
-0.000728874 - 0.000256527 i
-0.000530475 + 0.000457718 i
-7.50913e-05 + 0.00122967 i
0.000915809 + 0.000954611 i
0.00149349 - 0.000926322 i
-6.59616e-05 - 0.00276955 i
0.00148821 - 0.000926371 i
0.00091266 + 0.000952299 i
-7.80596e-05 + 0.00122618 i
-0.000529762 + 0.000455372 i
-0.000726132 - 0.000253527 i
-4.69913e-05 - 0.000151945 i
-6.04978e-05 - 8.68011e-05 i
2.91952e-05 - 2.83191e-05 i
-1.12308e-05 - 2.31559e-05 i
1.69047e-05 - 4.23414e-06 i
-5.29492e-06 - 7.56585e-06 i
8.06387e-06 - 7.91166e-08 i
-2.96157e-06 - 3.14246e-06 i
3.80366e-06 + 2.4752e-07 i
-1.36437e-06 - 1.48769e-06 i
1.63841e-06 + 1.27863e-07 i
-4.47701e-07 - 6.28807e-07 i
4.96778e-07 + 1.15765e-07 i
-3.97469e-08 + 1.81e-08 i
5.64815e-13 + 2.23155e-13 i
7.83962e-13 + 2.76931e-14 i
1.82274e-07 - 9.67533e-08 i
2.46795e-07 - 1.22782e-06 i
2.95229e-06 + 7.26554e-07 i
2.13223e-06 - 2.47289e-06 i
8.54338e-06 + 2.49247e-06 i
5.64927e-06 - 5.08665e-06 i
2.08884e-05 + 5.15102e-06 i
1.76888e-05 - 1.02097e-05 i
5.61708e-05 + 8.73238e-06 i
6.69305e-05 - 2.15005e-05 i
0.000179872 + 1.02379e-05 i
0.0002757 - 5.35101e-05 i
0.000666819 - 1.2598e-05 i
0.00114951 - 0.000184877 i
0.00272386 - 0.00037248 i
0.00314282 - 0.00218084 i
0.00231952 - 0.00390137 i
-0.00566399 - 0.00354276 i
-0.0184467 + 0.0112781 i
-0.022238 + 0.026718 i
-0.0184341 + 0.0112649 i
-0.00566775 - 0.00352405 i
0.00229628 - 0.00388548 i
0.00312303 - 0.00217113 i
0.00270556 - 0.000372913 i
0.00114301 - 0.0001852 i
0.000662932 - 1.29411e-05 i
0.000273155 - 5.30176e-05 i
0.000177806 + 1.09993e-05 i
6.55996e-05 - 2.06108e-05 i
5.47286e-05 + 9.85518e-06 i
1.63999e-05 - 8.6115e-06 i
1.79228e-05 + 8.09395e-06 i
1.77446e-06 - 1.70332e-06 i
4.67902e-06 + 5.80659e-06 i
-5.48556e-08 - 3.01233e-07 i
1.77076e-06 + 2.0691e-06 i
-1.04119e-07 - 3.36424e-07 i
2.09587e-07 + 5.41415e-08 i
1.62154e-12 - 3.24562e-13 i
8.47035e-13 + 5.10651e-13 i
-4.84319e-07 - 1.85976e-06 i
-1.00781e-05 + 7.28275e-06 i
2.32507e-05 - 1.19418e-05 i
-1.23138e-05 + 1.99964e-05 i
6.66652e-05 - 3.14346e-05 i
-1.68579e-05 + 4.69754e-05 i
0.000150735 - 6.67502e-05 i
4.55084e-06 + 9.38419e-05 i
0.000359791 - 0.000127065 i
0.000179931 + 0.000178937 i
0.00100018 - 0.00023439 i
0.00103381 + 0.000340777 i
0.00324164 - 0.000461545 i
0.00456352 + 0.000690557 i
0.010606 - 0.000937763 i
0.0169715 + 0.002827 i
0.0267409 - 0.00813636 i
-0.0124774 + 0.0503128 i
0.166499 + 0.0876872 i
0.406867 + 0.0375501 i
0.165796 + 0.0877236 i
-0.0129759 + 0.0502646 i
0.0265609 - 0.00817593 i
0.0168607 + 0.00281335 i
0.0105661 - 0.000938206 i
0.00452599 + 0.000690699 i
0.00321174 - 0.000465265 i
0.00102177 + 0.000341596 i
0.000990354 - 0.000230225 i
0.000178857 + 0.00018125 i
0.000363028 - 0.000124343 i
9.70921e-06 + 9.72947e-05 i
0.000155148 - 6.43108e-05 i
-7.61622e-06 + 4.73532e-05 i
7.69904e-05 - 3.57828e-05 i
-6.00441e-06 + 1.10888e-05 i
2.52293e-05 - 2.0562e-05 i
-1.17086e-05 + 3.96417e-06 i
-9.30425e-07 - 2.15264e-06 i
1.01945e-12 + 4.70042e-13 i
7.11151e-13 - 2.93031e-13 i
8.51838e-07 - 7.33933e-07 i
5.4944e-06 - 2.01869e-06 i
2.23881e-05 - 1.9365e-07 i
3.07052e-05 + 8.87438e-07 i
6.35801e-05 + 2.90727e-06 i
7.93557e-05 + 5.45893e-06 i
0.000157882 + 7.92364e-06 i
0.000221984 + 1.62259e-05 i
0.000451511 + 2.39003e-05 i
0.000744287 + 5.14914e-05 i
0.00153679 + 8.47635e-05 i
0.00282887 + 0.000182182 i
0.00583294 + 0.000319846 i
0.0111377 + 0.000662047 i
0.0220524 + 0.000858786 i
0.0367397 + 0.000650469 i
0.0570827 + 0.00162982 i
0.0630003 + 0.00648105 i
0.0552421 + 0.00952466 i
0.0570544 + 0.00867979 i
0.0550942 + 0.00954736 i
0.0628964 + 0.00649971 i
0.0571191 + 0.00180015 i
0.0365834 + 0.000742851 i
0.0219893 + 0.000866552 i
0.011109 + 0.000668293 i
0.00581471 + 0.000321532 i
0.00281889 + 0.000185234 i
0.00153529 + 8.46391e-05 i
0.000748497 + 5.27942e-05 i
0.000456476 + 2.47575e-05 i
0.000229652 + 1.79941e-05 i
0.000168427 + 8.40034e-06 i
9.28438e-05 + 6.88669e-06 i
7.74129e-05 + 3.36533e-06 i
3.99942e-05 + 1.73527e-06 i
2.6477e-05 - 1.14937e-06 i
7.6773e-06 - 2.3868e-06 i
9.19828e-07 - 6.76285e-07 i
1.23425e-12 + 1.16532e-13 i
7.87179e-13 - 2.19431e-13 i
1.11353e-06 - 5.63736e-07 i
1.12552e-05 - 1.973e-06 i
2.69595e-05 + 9.85699e-07 i
4.99403e-05 + 3.24162e-06 i
7.56954e-05 + 7.38521e-06 i
0.000123999 + 1.12728e-05 i
0.000188784 + 1.95877e-05 i
0.000326386 + 3.14607e-05 i
0.000548458 + 5.65493e-05 i
0.0010172 + 0.000100188 i
0.00185561 + 0.000189682 i
0.00357133 + 0.000356686 i
0.00669375 + 0.000687284 i
0.0125312 + 0.00127284 i
0.0215322 + 0.00247389 i
0.0346019 + 0.00509874 i
0.0413952 + 0.00751856 i
0.0331163 + 0.00610304 i
0.0205677 + 0.00330932 i
0.0146137 + 0.00260089 i
0.0205532 + 0.00329553 i
0.0331349 + 0.00608346 i
0.0414333 + 0.00752288 i
0.034593 + 0.00507695 i
0.0215615 + 0.00245518 i
0.0125469 + 0.00126768 i
0.00669573 + 0.000682344 i
0.00357039 + 0.000354716 i
0.00185538 + 0.000188304 i
0.00101817 + 9.99053e-05 i
0.000546821 + 5.56969e-05 i
0.00032379 + 3.16568e-05 i
0.000186981 + 1.89269e-05 i
0.000121016 + 1.11013e-05 i
7.10978e-05 + 6.50501e-06 i
4.51613e-05 + 2.89931e-06 i
2.27883e-05 + 1.48438e-07 i
9.17177e-06 - 1.9941e-06 i
7.93819e-07 - 4.5661e-07 i
7.9768e-13 - 4.65983e-13 i
9.06019e-13 - 1.90253e-14 i
1.66418e-06 - 8.89849e-07 i
1.68241e-05 - 2.73491e-06 i
4.1553e-05 + 9.87355e-07 i
7.51339e-05 + 5.57712e-06 i
0.000117123 + 9.83894e-06 i
0.000187616 + 1.86324e-05 i
0.000294148 + 2.68633e-05 i
0.000501315 + 5.08796e-05 i
0.000863536 + 8.02451e-05 i
0.00159061 + 0.000159058 i
0.00296156 + 0.000279681 i
0.00569291 + 0.000564839 i
0.0108358 + 0.0010412 i
0.0202598 + 0.00203504 i
0.0351404 + 0.00340946 i
0.0510644 + 0.00621066 i
0.0505345 + 0.00788167 i
0.0328158 + 0.00572009 i
0.0175288 + 0.00309179 i
0.0118257 + 0.00188259 i
0.0174915 + 0.00310694 i
0.0327177 + 0.00574523 i
0.0503998 + 0.00791814 i
0.0509488 + 0.00621666 i
0.0350838 + 0.00343357 i
0.0202237 + 0.00205136 i
0.0108149 + 0.00104941 i
0.00567917 + 0.000569299 i
0.00295233 + 0.000282226 i
0.00158341 + 0.000160491 i
0.000861267 + 8.11112e-05 i
0.000500954 + 5.23036e-05 i
0.000296792 + 2.78322e-05 i
0.000188273 + 1.91974e-05 i
0.000118138 + 9.98293e-06 i
7.76948e-05 + 5.98382e-06 i
4.50679e-05 + 8.72942e-07 i
1.91629e-05 - 3.39236e-06 i
1.8936e-06 - 1.06573e-06 i
1.18468e-12 + 2.90782e-13 i
9.43848e-13 + 1.10399e-13 i
2.24809e-10 - 4.8855e-10 i
-3.10249e-10 - 1.58418e-09 i
4.49384e-09 - 1.81168e-09 i
4.74825e-09 - 3.86713e-09 i
8.79794e-09 - 5.26919e-09 i
9.51582e-09 - 7.82034e-09 i
2.48111e-08 - 1.2745e-08 i
3.69437e-08 - 1.34495e-08 i
7.99221e-08 - 1.94509e-08 i
1.55883e-07 - 1.75389e-08 i
3.08822e-07 - 1.46265e-08 i
6.02048e-07 + 3.0926e-08 i
1.14434e-06 + 1.39585e-07 i
2.01591e-06 + 3.96651e-07 i
3.49411e-06 + 6.68075e-07 i
3.95535e-06 + 2.60241e-07 i
1.34815e-06 - 1.29923e-07 i
9.58745e-07 + 1.12331e-06 i
2.40631e-06 + 1.20459e-06 i
1.14113e-06 + 7.52384e-07 i
4.97878e-07 + 1.00425e-06 i
4.96907e-06 + 2.21154e-06 i
8.21831e-06 + 5.75748e-06 i
5.99314e-06 + 5.78396e-06 i
3.73318e-06 + 3.37753e-06 i
2.27616e-06 + 1.9737e-06 i
1.27725e-06 + 1.128e-06 i
7.12571e-07 + 6.18287e-07 i
3.60014e-07 + 3.45868e-07 i
2.51316e-07 + 2.13082e-07 i
1.16737e-07 + 1.24733e-07 i
4.01755e-08 + 6.82703e-08 i
-3.88781e-08 + 3.79469e-08 i
-5.70095e-08 + 1.72564e-08 i
-4.64256e-08 + 2.00294e-08 i
-2.8973e-08 + 7.65048e-09 i
-4.78452e-08 + 7.97716e-09 i
-3.16905e-08 + 2.57836e-09 i
-3.17863e-09 - 1.23419e-09 i
1.53391e-12 + 5.7612e-14 i
5.71158e-13 - 1.143e-13 i
-1.66134e-06 + 8.95178e-07 i
-1.68119e-05 + 2.68404e-06 i
-4.15995e-05 - 1.02834e-06 i
-7.51297e-05 - 5.68939e-06 i
-0.000117076 - 9.92594e-06 i
-0.000187443 - 1.8835e-05 i
-0.000294286 - 2.70256e-05 i
-0.00050156 - 5.15195e-05 i
-0.000864266 - 8.12781e-05 i
-0.00159265 - 0.000161278 i
-0.0029645 - 0.000283545 i
-0.00569824 - 0.000572744 i
-0.0108414 - 0.00105608 i
-0.0202637 - 0.00206313 i
-0.0351474 - 0.00345671 i
-0.0510645 - 0.0062663 i
-0.0505166 - 0.00794165 i
-0.0328041 - 0.00576176 i
-0.0175306 - 0.00311424 i
-0.0118294 - 0.0018868 i
-0.0174998 - 0.00309015 i
-0.0327304 - 0.00570062 i
-0.0504036 - 0.00785479 i
-0.0509296 - 0.0061636 i
-0.0350597 - 0.00339423 i
-0.0202107 - 0.00202739 i
-0.0108104 - 0.00103768 i
-0.00567944 - 0.000561725 i
-0.00295274 - 0.000278403 i
-0.00158691 - 0.000159119 i
-0.000862508 - 8.07609e-05 i
-0.00049927 - 5.15093e-05 i
-0.000291198 - 2.71314e-05 i
-0.000182028 - 1.81803e-05 i
-0.000113436 - 9.84962e-06 i
-7.44532e-05 - 5.52942e-06 i
-4.19658e-05 - 7.75067e-07 i
-1.76017e-05 + 3.60822e-06 i
-1.76946e-06 + 1.16723e-06 i
9.05771e-13 - 5.95766e-13 i
1.42769e-12 + 6.12742e-14 i
-1.07734e-06 + 5.58141e-07 i
-1.12465e-05 + 1.77966e-06 i
-2.68816e-05 - 9.42446e-07 i
-4.98225e-05 - 3.45905e-06 i
-7.56422e-05 - 7.33454e-06 i
-0.000123868 - 1.15341e-05 i
-0.00018883 - 1.95333e-05 i
-0.000326811 - 3.17655e-05 i
-0.000548515 - 5.65679e-05 i
-0.00101797 - 0.00010076 i
-0.00185731 - 0.00019 i
-0.00357466 - 0.000358155 i
-0.00670047 - 0.000688825 i
-0.0125464 - 0.00127656 i
-0.0215589 - 0.00247175 i
-0.034609 - 0.00506381 i
-0.041413 - 0.0075358 i
-0.0331422 - 0.0061068 i
-0.0205688 - 0.0033106 i
-0.014602 - 0.00260756 i
-0.0205289 - 0.00330656 i
-0.0330812 - 0.00609724 i
-0.0413837 - 0.00752648 i
-0.0345542 - 0.00513026 i
-0.0215193 - 0.00247204 i
-0.0125276 - 0.00127172 i
-0.00668887 - 0.000686118 i
-0.00356478 - 0.000355522 i
-0.00185101 - 0.000188321 i
-0.00101339 - 9.9259e-05 i
-0.000544956 - 5.55992e-05 i
-0.000325389 - 3.16009e-05 i
-0.000190429 - 2.01681e-05 i
-0.000126793 - 1.19758e-05 i
-7.80643e-05 - 7.34959e-06 i
-5.11188e-05 - 2.67025e-06 i
-2.72609e-05 - 6.78298e-09 i
-1.18386e-05 + 2.62744e-06 i
-1.1663e-06 + 5.8255e-07 i
1.30413e-12 - 6.1878e-13 i
9.04727e-13 - 8.44122e-13 i
-8.16227e-07 + 6.69977e-07 i
-5.85147e-06 + 1.7915e-06 i
-2.2316e-05 + 2.23934e-07 i
-3.10086e-05 - 1.25179e-06 i
-6.32981e-05 - 2.90584e-06 i
-7.93444e-05 - 6.01626e-06 i
-0.000157058 - 7.99422e-06 i
-0.000221535 - 1.68403e-05 i
-0.000450565 - 2.39104e-05 i
-0.000743436 - 5.23312e-05 i
-0.00153557 - 8.53969e-05 i
-0.00282895 - 0.00018476 i
-0.00583423 - 0.000323401 i
-0.0111401 - 0.000672571 i
-0.0220573 - 0.000878542 i
-0.0367419 - 0.000728684 i
-0.0572602 - 0.00177813 i
-0.0630532 - 0.00654461 i
-0.0551608 - 0.00956734 i
-0.0569948 - 0.00866659 i
-0.0550783 - 0.00949575 i
-0.0627655 - 0.00645555 i
-0.0568932 - 0.00167894 i
-0.0365642 - 0.000681606 i
-0.0219604 - 0.000858958 i
-0.0110927 - 0.000667435 i
-0.00580649 - 0.000322113 i
-0.00281309 - 0.000183281 i
-0.00153136 - 8.55137e-05 i
-0.000745552 - 5.31754e-05 i
-0.000453008 - 2.45318e-05 i
-0.000223603 - 1.7467e-05 i
-0.000156053 - 8.63456e-06 i
-7.51754e-05 - 5.66504e-06 i
-6.07519e-05 - 3.3009e-06 i
-2.728e-05 - 2.37135e-06 i
-1.77992e-05 - 1.3839e-06 i
-3.27282e-06 + 1.61052e-07 i
-5.75273e-07 + 3.68142e-07 i
6.12852e-13 + 3.09944e-13 i
7.56955e-13 - 4.17067e-13 i
5.07248e-07 + 1.82152e-06 i
9.67929e-06 - 7.50768e-06 i
-2.36357e-05 + 1.19564e-05 i
1.14418e-05 - 2.03774e-05 i
-6.75805e-05 + 3.14292e-05 i
1.57945e-05 - 4.71668e-05 i
-0.000152279 + 6.68503e-05 i
