k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
5.49896e-07 + 4.28823e-07 i
-4.93086e-07 - 4.1445e-07 i
7.14723e-07 + 3.82035e-07 i
-6.26773e-07 - 2.70177e-07 i
6.00725e-07 + 4.2297e-07 i
-1.74724e-07 + 9.89272e-08 i
5.82461e-07 - 5.26012e-07 i
6.21701e-13 - 6.86599e-14 i
1.45152e-12 + 6.1945e-14 i
1.94755e-07 - 4.61281e-07 i
-6.60756e-07 - 2.49959e-08 i
8.08795e-07 + 2.9524e-07 i
-7.18937e-07 - 3.67538e-07 i
7.38277e-07 + 4.76341e-07 i
-6.13058e-07 - 4.88374e-07 i
6.56806e-07 + 5.471e-07 i
-4.47865e-07 - 4.93495e-07 i
5.47991e-07 + 5.91979e-07 i
-1.07111e-07 - 3.67468e-07 i
7.39342e-07 + 8.27852e-07 i
1.53335e-06 + 4.68771e-07 i
4.29319e-06 + 2.1738e-06 i
1.71948e-05 + 1.87172e-06 i
2.76471e-05 - 2.90508e-05 i
-9.21971e-05 - 8.74226e-05 i
-0.000101484 - 1.43781e-05 i
-0.000103999 + 7.42127e-05 i
2.07206e-05 + 0.000108474 i
2.64544e-08 + 4.46308e-08 i
-2.08453e-05 - 0.000108245 i
0.000103698 - 7.41883e-05 i
0.000101056 + 1.427e-05 i
9.17859e-05 + 8.6672e-05 i
-2.74116e-05 + 2.88631e-05 i
-1.70852e-05 - 1.87693e-06 i
-4.32189e-06 - 2.15963e-06 i
-1.54622e-06 - 5.20559e-07 i
-7.02247e-07 - 7.9115e-07 i
8.68794e-08 + 3.48238e-07 i
-5.40909e-07 - 5.70774e-07 i
4.7271e-07 + 4.84991e-07 i
-5.79923e-07 - 5.06638e-07 i
4.25906e-07 + 4.61985e-07 i
-7.54155e-07 - 4.56305e-07 i
5.55239e-07 + 2.91224e-07 i
-6.14374e-07 - 5.15297e-07 i
8.74292e-08 - 7.90373e-08 i
-6.76518e-07 + 5.22954e-07 i
1.14675e-12 - 7.56375e-13 i
4.60503e-13 - 2.67374e-13 i
-2.16749e-07 + 4.42443e-07 i
6.37705e-07 + 5.87859e-08 i
-7.85613e-07 - 3.37701e-07 i
6.80418e-07 + 4.06278e-07 i
-7.28741e-07 - 5.25122e-07 i
5.6957e-07 + 5.33273e-07 i
-6.7224e-07 - 6.20626e-07 i
3.81175e-07 + 5.39736e-07 i
-6.22761e-07 - 7.04117e-07 i
-7.50531e-08 + 3.88608e-07 i
-1.09031e-06 - 1.02996e-06 i
-2.31567e-06 - 4.96857e-07 i
-5.82677e-06 - 2.16758e-06 i
-1.94644e-05 + 5.5762e-08 i
-2.52053e-05 + 3.4067e-05 i
9.794e-05 + 9.21815e-05 i
0.000114863 + 1.59977e-05 i
0.000113355 - 8.04601e-05 i
-1.35607e-05 - 0.000116326 i
-1.32658e-08 - 5.01705e-08 i
1.37257e-05 + 0.00011607 i
-0.000112943 + 8.04643e-05 i
-0.00011436 - 1.58124e-05 i
-9.74928e-05 - 9.13369e-05 i
2.49605e-05 - 3.38122e-05 i
1.9349e-05 - 9.63894e-09 i
5.85147e-06 + 2.15907e-06 i
2.34393e-06 + 5.61029e-07 i
1.03056e-06 + 9.86991e-07 i
1.04776e-07 - 3.63268e-07 i
6.02514e-07 + 6.8327e-07 i
-4.02565e-07 - 5.25677e-07 i
5.93379e-07 + 5.7848e-07 i
-3.46612e-07 - 5.05828e-07 i
7.41746e-07 + 5.00137e-07 i
-4.729e-07 - 3.15078e-07 i
6.41088e-07 + 6.03612e-07 i
3.8227e-08 + 8.49491e-08 i
7.78948e-07 - 4.76528e-07 i
9.30756e-13 + 4.13557e-13 i
1.53594e-12 - 4.72032e-13 i
2.38781e-07 - 4.22101e-07 i
-6.0619e-07 - 9.52526e-08 i
7.57523e-07 + 3.70427e-07 i
-6.31306e-07 - 4.4531e-07 i
7.09348e-07 + 5.77478e-07 i
-5.10678e-07 - 5.79118e-07 i
6.77858e-07 + 6.97038e-07 i
-2.90914e-07 - 5.88745e-07 i
6.97019e-07 + 8.22655e-07 i
3.04362e-07 - 4.16454e-07 i
1.46707e-06 + 1.22854e-06 i
3.18047e-06 + 4.91176e-07 i
7.3779e-06 + 2.12826e-06 i
2.19593e-05 - 1.77619e-06 i
2.4388e-05 - 3.92729e-05 i
-0.0001061 - 9.94218e-05 i
-0.000129753 - 1.79727e-05 i
-0.000125994 + 8.816e-05 i
